node1,node2
O15297,Q9UBI1
O43196,P61952
P29374,Q9UNM6
O43502,O00429
O14795,Q99661
P29474,Q8NB12
Q7Z5K2,Q05469
P23560,Q8NFD5
Q14118,Q9HB21
Q9H2X3,O60231
Q8TDB6,Q7Z406
Q13153,Q9UIV1
P48551,Q8TBK2
O15212,Q9H5I1
Q96QV1,Q7Z6Z7
Q9UPT5,Q9HAZ1
P49916,Q9NPC6
P78413,P37173
P62277,Q9Y6F1
P14770,Q9H1D0
Q16526,O95071
Q9BPW8,Q8N3Y1
P50895,P01584
Q96FW1,Q15788
P18621,P23469
P33076,P50553
Q5JQC9,Q13936
O75807,Q00534
Q96FZ7,P48730
Q9H410,Q9H5V8
Q92966,Q8NHG7
Q70EL2,Q9BZK7
Q96B26,Q9UIG0
O00623,P29320
P61587,Q9NVP1
P08833,P35998
Q96L91,Q16667
Q9H2K2,P84103
Q99075,Q9HB21
Q9BYE7,Q9H0M0
Q9HAV0,P01019
Q9Y2W1,Q9UPT9
P15336,Q96NA2
O60683,Q9HAP2
O95243,Q3V5L5
P25705,P43626
Q13190,P04229
Q5TCZ1,Q86US8
Q92614,P50591
P54132,P05230
Q13574,Q9UK41
Q5T6S3,P42226
P31323,Q96IF1
O14770,Q16828
Q15562,Q9BX63
Q01344,Q8N5R6
Q9BVP2,P09429
Q9Y5X4,O14933
P60033,Q92777
Q92882,Q86XK2
Q9Y265,Q96E14
P34932,Q92993
Q13233,Q13643
Q6VMQ6,P98160
Q9H816,P49815
Q76L83,O95600
P48357,P21796
Q9UL62,P28065
P02748,Q9C029
Q9UGK8,P98160
P57078,Q13009
P06746,Q9H6Z9
Q96SB3,Q53HL2
Q93096,P55347
Q96QK1,Q15744
O95155,Q9NP84
P53567,O14933
P60660,Q6PJG6
Q99814,A5YKK6
O75628,Q8WXA9
Q86XR7,Q14573
P54829,P15090
Q13451,P37173
P51572,O95863
O43502,P46736
Q8TDR0,Q9P287
Q96J84,Q04756
Q14512,Q99958
P50990,Q86WV1
Q5TGY3,Q9BW11
Q2NKJ3,Q96JC9
Q14498,Q9HAQ2
Q6IA86,P49959
O00244,P00742
Q13474,Q9Y508
Q16629,Q96JB2
Q674X7,P51965
Q14814,Q13009
Q92540,Q99618
Q58A45,P40938
O75689,Q99615
Q9BUG6,P53350
Q99590,Q9H147
Q9BYG3,Q15723
P19532,Q9NVF7
Q9UI08,Q9NQZ3
P02746,Q9UPY8
P23468,A9UHW6
Q9UJT2,O75509
Q92800,Q9Y264
Q9Y698,Q9H469
P53567,Q9UBI6
O95602,P09211
Q16613,Q86U86
Q96P71,Q9H251
P67809,Q5S007
Q9P0L2,O75530
Q6PIJ6,Q9Y5B9
P22695,P61962
P43146,Q9HD26
P62736,Q9P2G9
Q9UBU8,Q13838
Q9BY43,Q15389
Q9Y2J0,P05181
Q9UK41,Q99418
Q9UHQ4,P32245
P05787,Q99640
P06307,O14544
Q9H0A8,O75448
O95229,Q9H816
Q14161,P21675
Q9UJW0,Q9H3S7
Q9Y6N8,O15297
Q5JQC9,O14879
Q96L91,O00762
P42025,Q15361
O75884,Q9BQG0
Q06481,P30279
Q96CD0,Q16644
Q14242,Q92904
P35613,Q9UBD5
P78347,Q16890
O75943,P29376
Q9BVI4,Q12769
Q9UGM3,P61247
O14618,P35900
P25391,Q92830
P20333,Q9NP64
Q9GZS3,Q9NY12
Q01105,O60762
P10644,Q92570
Q93009,Q9BXB1
P0DI81,Q7Z406
Q99590,Q6ZSG1
P61457,O75506
O75676,Q96EZ8
P35250,Q13884
P15170,P62273
O75528,Q9UQ35
P35368,Q3ZCQ8
Q86T82,Q14974
Q9H0K1,P36873
O95297,P50990
Q9BPW8,P78362
P42263,Q9NXV2
Q9BQ67,P49795
Q8WWL7,Q9NVX0
P46734,P61626
Q9Y6B2,Q13838
P55198,Q9C0J8
P15884,P68402
P09486,Q9UPZ3
Q99741,P21810
P24928,Q96KQ4
Q8TAG9,Q92747
Q15404,P62736
P49336,P15813
Q99759,P56645
Q15834,Q9HAW0
O14836,Q8IWI9
O60826,O95336
Q9UBQ5,Q3LFD5
Q86UT5,Q14011
Q9BPZ7,P35398
Q13625,Q9BVC4
Q06455,Q92830
P24941,O15524
Q96E14,P52735
Q8WVY7,Q96BR1
Q2QGD7,Q9BY11
Q9GZU2,Q2NKJ3
Q15672,Q12967
Q53HV7,P05556
O43189,P21953
P20042,P42226
Q9NVF7,O94941
Q7L5D6,Q9NX24
O43150,Q9H9E1
Q14004,Q13287
Q93052,Q9ULV3
O95967,O43353
P01034,Q15406
Q9UGI8,P30989
P02686,P53365
Q01826,O75448
P28702,Q8WYQ5
Q7Z406,Q13469
Q9UBB5,Q8IXW5
O95278,Q9NQC1
P61289,Q5VWQ8
Q86VN1,P49257
P32856,O75962
Q8NBT2,P60510
Q9GZV5,O14544
Q9UBN4,O75326
Q58A45,Q13588
Q96S52,P07858
P54920,P21675
P11474,P51948
Q9HAW0,P62633
P11912,P49639
Q9P2M7,Q13427
P36954,Q9UHC6
Q7L576,P55327
Q4G0J3,P09493
O75190,Q99598
O75914,P14921
Q8WVJ9,O43264
P31350,Q2NKJ3
Q9Y2H1,P45379
Q9UP52,P00533
Q9UHD8,Q99459
Q9H0C5,P02765
O43502,Q14938
O95785,P15924
Q9H9E1,Q9Y4J8
O00167,O43896
Q9UQB3,Q9UPN3
P05787,Q15744
Q9Y4Y9,Q9H2G4
Q9UBF2,Q13432
P17661,P42679
Q9H9F9,Q9Y6J9
Q9NPY3,P41273
Q9HBM6,P13569
Q7Z628,P09086
Q7Z465,P55884
P15173,P01023
Q8NB16,Q13490
Q8TF40,P49795
O15055,P30622
Q9H7D7,Q8IWI9
Q9BU64,Q9Y2I1
Q8NHY5,P52435
Q92625,Q9NPY3
Q7L5N1,Q96FJ0
P21953,Q92783
Q99612,Q8N5V2
P55039,Q01658
Q86X83,O14497
O75147,Q92783
Q9UL33,P51684
O60486,Q9UNF0
Q13637,P52630
P42081,Q9Y2K6
Q9Y5R8,Q9Y6M7
P62306,O43156
P40424,Q9NQP4
Q14653,Q8IUC6
Q92777,P35556
P12004,Q9NVI1
O75448,Q07866
P61006,Q9NXR1
Q14990,Q03933
O95155,Q9NXV2
P30260,O76021
Q15131,P41743
Q9BSV6,P20807
O75592,Q96JM7
Q9BPW8,Q9NTI5
P31273,Q8IXH7
Q86U06,Q8IUD2
P42772,Q8NC51
P67775,Q00722
P62166,P50616
O60216,Q969T4
P62280,O14544
P35900,Q08050
Q9BU61,P61981
Q6IA86,Q9NR77
P50616,P36405
O75663,O95249
Q9UIF9,Q04721
P22303,Q6FI81
Q9H9F9,Q13087
Q92747,Q15025
P17947,P10909
Q13829,P15880
P08637,P49750
Q13873,Q9HAV0
Q96Q42,Q9P104
P01040,Q9UHB4
P34130,O95613
P31942,Q9Y376
P33076,Q7Z7L7
P20042,Q5MJ70
Q9UI09,Q96A44
O15297,O14594
Q6UWE0,O14920
P24941,Q8TEW0
Q92870,O75334
Q9Y2X3,Q7KZF4
P23396,P49336
Q16531,P13987
P02792,P53992
Q9GZS3,Q8TD31
Q8N196,Q9P246
P19174,Q9Y6J9
Q86UT5,Q9UL54
Q9UNE2,O75676
P15151,P50591
Q9NVP1,Q8IUQ4
P30533,Q14112
Q14318,O75525
Q9H9Y6,Q6NYC1
O00625,P18054
P61158,Q92917
P15151,P68363
Q99570,Q92793
Q76L83,P20336
Q6IA86,O95319
Q8IZD4,Q8TDD1
Q6PIL6,Q9H4B6
Q702N8,Q09019
P12004,P22460
Q9Y6R0,O00626
P56537,P01023
Q9H2L5,P51451
Q96AP0,Q9H8S9
Q2MKA7,Q16478
Q9H7Z6,Q92888
Q13884,Q9NVK5
P35227,P11177
O75293,Q9UL54
Q93096,Q05209
Q9Y239,O75478
P37173,O75030
Q68CZ2,P05121
Q9BYG3,P45984
P05388,Q16082
P62487,Q8NCQ7
P16591,Q9H9Q4
Q15746,O00189
Q13387,Q12873
Q13387,Q96DX5
P05120,P49336
P23467,P41240
Q96BD5,P31930
P35613,P35638
O75146,Q14197
Q9UK58,P48167
Q8IXI2,P16070
Q96EP0,P25789
P02679,P06746
Q9H0E7,O95573
Q9NP84,O95997
P62875,O60216
Q9UKJ1,Q9Y2X0
P61764,Q9H9Q4
Q71F56,Q9NZU7
Q9UN37,Q12905
Q9NWV8,Q8N4P2
P11473,Q9NPE3
Q9Y6Q9,Q8TD31
P51398,Q8N4P2
Q9NPQ8,Q9NRG0
P83916,P38117
Q9UBT2,Q96AX1
P52948,O43402
Q86X83,P63272
P10916,P17544
P63165,P51957
Q7L804,O75840
Q9P2M7,P17342
Q16543,Q9NZM3
Q16623,P35658
Q92529,Q92917
Q68CP9,Q96JN8
O60271,Q70CQ1
Q8WYK2,P49257
Q9H307,P09493
Q7Z3Z4,O14979
P51571,Q9Y5K5
P21817,P08476
Q7L9L4,Q9NY12
Q99996,Q8IU81
Q9BUE0,P02788
Q7L2E3,O95433
O60271,Q96AH0
P31994,Q13541
Q8IZT6,O60678
Q9NUU7,P51148
Q00688,P46934
P13224,Q96T60
Q9H6Z4,P68363
Q93009,Q969R5
P28074,Q9NSE2
P51170,Q6VAB6
Q9H9G7,P29374
Q9P1U1,Q9BX59
Q8NBT2,P52952
Q9UPZ3,P04198
P06746,Q92781
O95816,Q15427
Q99081,P42226
P01023,P05546
Q9NZL6,P55001
Q92558,Q96RR4
Q53GS7,Q14938
Q96IT1,Q9BW61
Q13233,P34998
Q6IE81,P09668
Q9NP71,Q99748
P78413,P14653
Q13362,O75334
P09874,Q5JVS0
Q9P287,P78318
P15813,O43683
O95677,P05106
P51451,P02749
P06730,Q9ULW0
P42025,Q96EB1
P15382,Q9BW11
Q14155,Q14397
O43665,Q9UL46
O75529,Q96RR4
O95714,O43592
Q9P287,Q8NB12
P84022,P41279
P49207,P07998
Q96KQ4,P67775
O15457,Q9NSK0
Q15717,Q9Y5B0
P49450,Q9GZM8
O14796,Q9NQC7
Q16394,Q4VX76
Q14831,P15880
Q9Y271,P20701
Q99436,Q99418
Q02080,O75962
P49682,Q9HBM1
O60840,P08962
O94782,Q8TAG9
O43307,Q9Y6F1
P14625,O95425
Q13557,P18615
O95197,P01040
P52298,P30989
Q9P000,Q15078
Q9Y343,Q7Z6E9
Q5VTB9,O75969
Q15080,Q6SZW1
Q14151,Q92925
P20701,Q9NXK8
P15863,Q8IWZ8
O43396,Q96AH0
O75676,P49959
P54577,Q9UHX1
Q9Y2U8,Q15528
P28907,P07951
Q96II8,Q12834
Q13107,Q8WYJ6
P49721,Q7Z460
P29992,O15055
Q8TAC2,O60264
Q9UPT5,Q86Y01
P78406,Q01518
Q12972,P32239
P49759,Q8N4P2
Q99962,Q15468
O75478,Q9NVF7
Q9NYY3,Q12996
P60903,Q9H4P4
Q9NUX5,Q9UBP0
Q12959,Q15532
P09496,P54253
P52790,O75330
P20749,Q9Y6F1
Q9BVW5,P06734
Q96RU3,Q9NQZ3
O43402,Q15759
Q09470,P56817
Q92797,O95696
Q9H270,Q99598
Q13503,P32780
Q9H6Z9,Q9Y2V7
Q9P0U3,Q9NPA8
P30086,Q9Y2W2
Q9Y692,P10515
P35638,Q13507
Q9UJX4,Q71F23
Q9NZL6,Q9NW38
P42684,P50990
Q9HBM1,Q9HAP6
Q9UH92,P05181
P09681,Q16082
O75676,P16152
Q9Y3I1,Q8TDY2
Q86Y82,P42680
P14625,O14939
Q96LR5,Q8TEW0
Q99700,Q9UQR0
O43353,Q9P2D0
Q96A65,Q9P246
P11473,Q16613
O43566,P61218
P63027,Q96SN8
Q9HB19,Q01167
Q7Z589,Q96DX5
Q7Z6A9,P60763
O15078,P16591
Q9BV73,Q8NHL6
Q14315,Q9BUN8
Q15233,Q9GZU2
Q96BH3,Q9Y2W2
Q96EK5,P09619
Q7L014,Q96DE5
Q9H7D7,Q15428
Q12788,Q14152
Q53T94,Q8TDD1
O15111,P13726
P34130,P17861
Q14194,Q05639
Q14160,Q9H257
Q9Y6Q5,Q8IXQ6
Q13144,P18564
P52597,P35637
Q15762,P23469
Q86Y91,P61587
P22830,Q9H0W8
P07996,Q14582
Q16513,Q86SQ9
P15880,Q8IY18
Q86XL3,Q8IY31
Q14289,P19387
P04070,O15524
Q8TAF3,P51965
O43680,Q9UQE7
Q9BVA0,P26367
Q13884,O15144
Q9UJY5,O43482
P05230,Q9NVP2
Q8N6P7,P61081
Q6PCD5,Q9BXK1
Q9Y5Q8,P50895
O14979,P31350
Q09013,Q13087
Q15054,Q9H6U6
Q9NYY3,Q15648
Q8WV41,Q7Z6E9
P16278,Q99835
Q8WYH8,O00165
O14925,P05181
P16152,Q03431
Q15208,Q5T1R4
Q9H2L5,Q9NRD0
P13611,Q5U5X0
P03951,Q9Y5P8
P63279,Q52LR7
P23582,P10515
Q9H2D6,P26367
Q96RU7,P09693
O75832,P63241
P18054,P05388
Q8NFH4,Q9P253
P61962,Q9P275
P26641,P50616
Q13315,P23327
P49643,P55347
Q7Z4H7,P84103
Q9H1J1,Q86US8
O14796,Q9Y6A5
P31314,P52630
O95819,Q9UHC6
Q9NP97,Q13029
Q8TD46,Q14204
P48509,Q9GZR2
P78413,Q00534
O00499,P33991
Q13464,Q13588
P51587,P61981
O60675,Q6P1N0
Q16531,P62913
Q9NP85,P08709
Q96E09,O15061
Q8N1F8,Q16548
O96013,P53992
Q9P246,P11166
P56159,Q9NZN9
Q8IY57,Q9H6U6
P09693,Q86Y91
O00189,P13987
P01834,P00742
Q99471,P40937
P49715,P09913
Q9Y345,Q8IWU2
O95243,Q8NHG7
O95376,Q9UPT6
P17600,O43513
O95297,P78362
O60232,Q9H553
Q7Z7L7,P51884
P26371,Q6S5L8
Q9NV56,P20936
Q8N3Y1,Q16890
Q14008,Q9H221
Q12788,Q15404
Q9NUX5,Q8WXH0
Q9Y333,O43513
P12956,P22736
Q8WYL5,Q9UKT9
P00167,Q13642
Q99698,Q9UKB1
Q7Z6M1,Q9ULV8
P09086,P62136
P18846,Q71U36
Q96EK5,O14511
Q8N1I0,Q9BX63
P09668,Q16851
Q9Y239,O15519
P04141,Q03181
Q8IZQ8,Q9HAU4
Q13151,P29474
Q9HCU9,P15976
Q7L9L4,Q96JC9
P14635,Q9HB90
P62244,P16410
Q92973,P33552
P07900,P16035
Q8TBN0,P49721
Q13233,P40937
Q9BXM7,Q96F44
O00623,P42224
O95793,P54136
Q16740,Q9NRZ9
P51532,P17706
Q9NXR8,P68402
P11532,P17275
P60660,Q9UKA2
P48061,Q9NYA1
Q01844,P61218
P20719,P10747
Q6FI81,Q53EL6
Q14938,Q9UIG0
P12755,Q14565
Q96Q27,Q13287
P30048,Q76N89
Q9NVP2,Q9NQC1
P68106,Q99567
Q96CS3,Q8TDN4
Q92887,Q9BWN1
Q8WYR1,Q9NRZ9
P12270,Q16236
P01189,Q9UK97
O95967,Q7Z6M1
P40938,Q9UKY1
Q01844,O60741
Q96M94,P38484
P35250,P54253
Q13217,P00748
Q96EK4,P35556
Q14160,Q12929
Q7LG56,Q9UQM7
P13611,P47804
P31749,Q9NS75
Q9UQ84,P43146
Q68CZ2,O60437
Q8ND04,Q9HAU4
P62633,Q9H161
P05388,Q9NRD0
Q8IZP0,P20618
P20138,P35658
Q9UPT5,Q9P0L0
Q8N1I0,P42680
Q9HB21,Q9UBI1
P61952,Q15691
Q08722,O95573
O14649,Q9UBY9
Q5JY77,Q9P253
Q71F23,Q03111
Q16611,P16234
Q14168,Q9H9H4
Q16739,P19387
Q96Q27,O75717
O95433,P21796
P02675,Q13009
O95402,Q9P2G9
Q9NP85,Q92730
Q8IUQ4,Q9UHX1
Q9BY77,Q9Y297
Q92564,O95405
O43236,P16389
Q13438,O60716
Q8N3L3,Q9NPF4
P62312,O14497
Q13347,P13612
Q99466,Q9NZU7
P02786,Q01167
P10912,P62328
P05771,Q8IZT6
Q8N1F8,Q9GZU2
P29459,P09651
O43913,P20849
Q02543,Q12840
Q8IYD8,Q86WV1
Q13635,Q9Y5R8
P61371,P26371
Q96RK4,Q9H1D0
O75179,Q15208
Q92956,O75461
Q13387,Q7Z406
Q96DB2,O14867
P49642,Q12874
P01106,P40227
P15880,P05549
O15533,Q15078
Q86X29,Q13402
Q9Y2D8,Q9UKJ3
Q96IZ0,P30050
Q14192,Q14814
P43246,Q99638
P50281,O75326
Q15648,P12980
Q9UBY9,Q96QT6
P13498,P41217
Q9UL25,P05108
Q969R5,O43933
Q9H221,O00291
O43293,P16144
P51003,P10071
O43593,Q96RU3
P40939,P32246
Q9Y6M7,Q9NP64
P17844,P11047
P17096,P06730
Q16478,Q9P2F5
O14544,Q96FJ0
Q9Y3Q8,O00541
Q9UBP6,P62820
Q70CQ1,Q96PK6
Q8NCQ7,Q9H6U6
Q15080,P50895
Q9C086,Q03933
Q58A45,Q969P5
Q9NZ94,Q15406
Q9UJX2,Q13113
Q9NZ94,Q86UL8
O75317,Q96A44
P41238,P23582
O95544,Q9H2G4
P16860,Q8NI35
P61158,Q8TEW0
Q58A45,Q96B67
P08908,O75477
P16860,Q16204
P13805,Q5T5C0
Q03014,P62328
P30305,Q14974
P52799,P30281
Q5T2W1,Q9BV36
P17096,O94776
Q9C0C7,Q15759
Q9BVP2,Q8ND25
Q9UI09,P06734
O00623,Q9UI14
Q96AE4,O75817
P23469,Q96L34
Q8NHW3,Q13829
P19256,Q8TF40
Q9H9S0,Q96RU3
Q8WW01,Q86VQ0
P62258,O95336
Q9NZ94,Q15118
Q8IYD1,Q9UHW5
Q9UJF2,Q99814
Q5T2W1,Q9UIV1
P63000,Q96DE5
P61956,Q9UNF0
Q9UGI8,O95831
O95835,Q9UMZ2
Q9HCG8,Q9NRY2
P42025,P84103
Q13347,P17706
P02748,Q969P5
P46087,Q6ZSG1
P29322,P02746
P27658,Q8TEU7
P21583,Q9GZN8
Q13322,O15344
P42345,Q9H0M0
O60739,P19387
P55085,Q9UJY5
Q14BN4,Q14318
Q5SW96,Q9NSE2
Q9H8S9,Q8NC69
Q96CW5,P19256
P49642,Q5VTR2
P61247,O15344
Q14643,Q2NKX8
P20042,P22455
Q13347,Q969J5
O60759,Q96F07
P51825,P35916
P00747,Q9H4B6
Q6ZN18,Q7Z412
Q7Z3B3,O15066
O60880,P08069
P08238,Q9BYW2
O00273,O15123
P35612,P16109
O94817,O00592
P04141,Q9UPS6
P20719,Q9UBI6
Q2QGD7,O96020
Q8IZP0,Q9H6Z4
Q14494,P51948
Q15436,Q9NRD0
O60500,Q5XUX1
Q96RJ3,Q8N6Y0
Q92918,P54368
P19022,Q96AP0
Q5VVQ6,O15123
Q13315,Q15811
Q9NSA3,Q9NP85
P51965,Q9H2D6
P55773,Q9UPZ3
Q08043,Q14197
O43313,Q14114
Q9NR33,P17252
O60516,O75928
P08700,P62841
O75928,Q15334
Q6NZ67,Q86US8
P50750,P11802
Q12788,O75494
Q8IX90,P45880
Q09472,Q9NZU7
Q8NHG8,O95785
Q9BWW4,O94906
P50613,Q9UGM3
Q9NPD3,Q96RR4
Q8IWL3,Q8TDX7
Q99962,P11362
P61244,Q96NE9
Q9H553,Q4VX76
P05787,P00736
Q9Y4K3,O95163
O60481,P10147
Q8WYH8,O95997
P05107,Q16539
Q01831,P02748
Q15834,Q7KZ85
Q14315,P01241
Q9NTI5,P25789
Q9BVA0,O95487
O76003,P21817
O94817,P63241
P09486,P08754
Q96F44,Q8TDX7
P51531,Q6PJG6
Q02447,Q6GQQ9
